Status,Report Time,Address,Name Tag,URL,Label 1,Chain,Public Note,Public Comment Color,Source
"Pending","2024-05-13","0x707b7d4a1bae449d546dcab869256591bbb3d70b","Balancer v2: TEST Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Composable Stable' pool with the tokens: DO NOT USE - Mock Composable Stable Pool (symbol: TEST), Balancer on xDai (symbol: BAL), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x581ec1f5e7ced12b186deae32256adb53bdd5b08","Balancer v2: TEST Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Aave Linear' pool with the tokens: DO NOT USE - Mock Linear Pool (symbol: TEST), DO NOT USE - Mock Static AToken (symbol: TEST), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x8a819a4cabd6efcb4e5504fe8679a1abd831dd8f","Balancer v2: test Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Weighted' pool with the tokens: USD//C on xDai (symbol: USDC), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x0503dd6b2d3dd463c9bef67fb5156870af63393e","Balancer v2: wxdaiusdcweighted Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Weighted' pool with the tokens: USD//C on xDai (symbol: USDC), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x11884da90fb4221b3aa288a7741c51ec4fc43b2f","Balancer v2: xdaiusdtusdc Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Stable' pool with the tokens: Tether USD on xDai (symbol: USDT), USD//C on xDai (symbol: USDC), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0xa94a92fc2ca0601481d5de357489ceaeba1c1dc6","Balancer v2: wxdaiusdcweighted Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Weighted' pool with the tokens: USD//C on xDai (symbol: USDC), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0xbea652aa29d38114e9d36f2a2e4167b13df68e73","Balancer v2: 40USDC-60WXDAI Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Weighted' pool with the tokens: USD//C on xDai (symbol: USDC), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0xe051605a83deae38d26a7346b100ef1ac2ef8a0b","Balancer v2: TEST Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Weighted' pool with the tokens: Balancer on xDai (symbol: BAL), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x07c896050dd6e273c199f06d7516f8a4a369d23a","Balancer v2: TEST Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Composable Stable' pool with the tokens: DO NOT USE - Mock Composable Stable Pool (symbol: TEST), Balancer on xDai (symbol: BAL), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
"Pending","2024-05-13","0x225e0047671939a8d78e08ebd692788abe63f15c","Balancer v2: TEST Pool","https://balancer.fi","","Gnosisscan","A Balancer v2 'Aave Linear' pool with the tokens: DO NOT USE - Mock Linear Pool (symbol: TEST), DO NOT USE - Mock Static AToken (symbol: TEST), Wrapped XDAI (symbol: WXDAI).","Blue","https://curate.kleros.io/tcr/100/itemID"
