Status,Report Time,Address,Name Tag,URL,Label 1,Chain,Public Note,Public Comment Color,Source
"Pending","2024-09-25","0x23e4e76d01b2002be436ce8d6044b0aa2f68b68a","Aave V3: aGnowstETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis wstETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x5cbc43c339f5202d2dcb59583d33ca8498b75031","Aave V3: stableDebtGnowstETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Stable Debt wstETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x9d881f67f20b49243c98f53d2b9e91e39d02ae09","Aave V3: variableDebtGnowstETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Variable Debt wstETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x7a5c3860a77a8dc1b225bd46d0fb2ac1c6d191bc","Aave V3: aGnosDAI Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis sDAI token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xa2e0335175da40b081717ffd394c0e1de738cb9b","Aave V3: stableDebtGnosDAI Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Stable Debt sDAI token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x8fe06e1d8aff42bf6812cacf7854a2249a00bed7","Aave V3: variableDebtGnosDAI Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Variable Debt sDAI token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xa1fa064a85266e2ca82dee5c5ccec84df445760e","Aave V3: aGnoGNO Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis GNO token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x1a126f613d7705e59adb39909b25e1223adf05dd","Aave V3: stableDebtGnoGNO Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Stable Debt GNO token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xbc59e99198dba71985a66e1713cc89ffec53f7fc","Aave V3: variableDebtGnoGNO Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Variable Debt GNO token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xa818f1b57c201e092c4a2017a91815034326efd1","Aave V3: aGnoWETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis WETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x436d82d905b014926a2375c576500b6fea0d2496","Aave V3: stableDebtGnoWETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Stable Debt WETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x0c0fce05f2314540ecb095bf4d069e5e0ed90ff8","Aave V3: variableDebtGnoWETH Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Variable Debt WETH token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xc6b7aca6de8a6044e0e32d0c841a89244a10d284","Aave V3: aGnoUSDC Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis USDC token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x8220133c3a631de3c7a5b679a2417bd61431fecf","Aave V3: stableDebtGnoUSDC Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Stable Debt USDC token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0x5f6f7b0a87ca3cf3d0b431ae03ef3305180bff4d","Aave V3: variableDebtGnoUSDC Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis Variable Debt USDC token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
"Pending","2024-09-25","0xd0dd6cef72143e22cced4867eb0d5f2328715533","Aave V3: aGnoWXDAI Token","https://aave.com","","gnosisscan.io","Aave V3's official Aave Gnosis WXDAI token contract.","Blue","https://github.com/greentea135/aave-v3-tokens-atq-module/commit/ca6428f"
