Contract Address,Public Name Tag,Project Name,UI/Website Link,Public Note
"eip155:1:0x61d5dc44849c9c87b0856a2a311536205c96c7fd","DPI/WBTC/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens DefiPulse Index, Wrapped BTC, Wrapped Ether."
"eip155:1:0x647c1fd457b95b75d0972ff08fe01d7d7bda05df","BAL/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Balancer, Wrapped Ether."
"eip155:1:0x0297e37f1873d2dab4487aa67cd56b58e2f27875","WBTC/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped BTC, Wrapped Ether."
"eip155:1:0xc6a5032dc4bf638e15b4a66bc718ba7ba474ff73","DAI/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Dai Stablecoin, Wrapped Ether."
"eip155:1:0x3a19030ed746bd1c3f2b0f996ff9479af04c5f0a","WBTC/cUNI/USDC Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped BTC, Compound Uniswap, USD Coin."
"eip155:1:0x32fc95287b14eaef3afa92cccc48c285ee3a280a","WBTC/rDAI Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped BTC, Redeemable DAI."
"eip155:1:0xf461f2240b66d55dcf9059e26c022160c06863bf","RAI/YFI/UNI/BED/DAI/USDC/BAL/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Rai Reflex Index, yearn.finance, Uniswap, Comfy, Dai Stablecoin, USD Coin, Balancer, Wrapped Ether."
"eip155:1:0x991aeafbe1b1c7ac8348dc623ae350768d0c65b3","UMA/LINK/AAVE/BAL/GRT Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens UMA Voting Token v1, ChainLink Token, Aave Token, Balancer, Graph Token."
"eip155:1:0x36128d5436d2d70cab39c9af9cce146c38554ff0","GNO/BAL Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Gnosis Token, Balancer."
"eip155:1:0xce66904b68f1f070332cbc631de7ee98b650b499","B-50BAL-50GNO/DAI Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Balancer 50 BAL 50 GNO, Dai Stablecoin."
"eip155:1:0x021c343c6180f03ce9e48fae3ff432309b9af199","WETH/RGT Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped Ether, Rari Governance Token."
"eip155:1:0x571046eae58c783f29f95adba17dd561af8a8712","DAI/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Dai Stablecoin, Wrapped Ether."
"eip155:1:0x45910faff3cbf990fdb204682e93055506682d17","USDC/RLY Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens USD Coin, Rally."
"eip155:1:0xa6f548df93de924d73be7d25dc02554c6bd66db5","WBTC/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped BTC, Wrapped Ether."
"eip155:1:0x80be0c303d8ad2a280878b50a39b1ee8e54dbd22","LPT/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Livepeer Token, Wrapped Ether."
"eip155:1:0xea8886a24b6e01fba88a9e98d794e8d1f29ed863","WETH/ZRX Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Wrapped Ether, 0x Protocol Token."
"eip155:1:0x4626d81b3a1711beb79f4cecff2413886d461677","DAI/BAL Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Dai Stablecoin, Balancer."
"eip155:1:0x7eb878107af0440f9e776f999ce053d277c8aca8","AST/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens AirSwap Token, Wrapped Ether."
"eip155:1:0x186084ff790c65088ba694df11758fae4943ee9e","YFI/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens yearn.finance, Wrapped Ether."
"eip155:1:0x5c6ee304399dbdb9c8ef030ab642b10820db8f56","BAL/WETH Pool","Balancer v2","https://balancer.fi/","A Balancer v2 pool with tokens Balancer, Wrapped Ether."
